model_name,image_name,dice,iou,ssim,accuracy,precision,recall,f1_score,hausdorff
MyModel,SkBr3_Phase_H3_2_02d08h00m_4.png,0.955972,0.915658,0.99863,0.967646,0.951121,0.960873,0.955972,23.0
MyModel,SkBr3_Phase_H3_2_02d12h00m_2.png,0.945502,0.896638,0.997518,0.955428,0.933785,0.957517,0.945502,20.880613
MyModel,SkBr3_Phase_H3_2_02d12h00m_4.png,0.960201,0.923449,0.998604,0.96789,0.95923,0.961174,0.960201,34.409301
MyModel,SkBr3_Phase_H3_2_02d16h00m_1.png,0.943853,0.893676,0.99635,0.943179,0.939458,0.948289,0.943853,34.71311
MyModel,SkBr3_Phase_H3_2_02d16h00m_2.png,0.957115,0.917757,0.998291,0.961847,0.964707,0.949642,0.957115,21.213203
MyModel,SkBr3_Phase_H3_2_02d16h00m_3.png,0.948793,0.902575,0.997438,0.954633,0.947735,0.949853,0.948793,26.172505
MyModel,SkBr3_Phase_H3_2_02d16h00m_4.png,0.958908,0.92106,0.998362,0.963336,0.960449,0.957372,0.958908,35.468296
MyModel,SkBr3_Phase_H3_2_02d20h00m_1.png,0.954656,0.913245,0.997154,0.950918,0.947051,0.962384,0.954656,40.447497
MyModel,SkBr3_Phase_H3_2_02d20h00m_2.png,0.958595,0.920483,0.998011,0.960834,0.95411,0.963123,0.958595,21.633308
MyModel,SkBr3_Phase_H3_2_02d20h00m_3.png,0.955991,0.915693,0.997754,0.957504,0.965802,0.946377,0.955991,21.954498
MyModel,SkBr3_Phase_H3_2_02d20h00m_4.png,0.961382,0.925636,0.99847,0.963207,0.964011,0.958768,0.961382,26.870058
MyModel,SkBr3_Phase_H3_2_03d00h00m_1.png,0.948084,0.901292,0.997168,0.942496,0.923387,0.974138,0.948084,76.10519
MyModel,SkBr3_Phase_H3_2_03d00h00m_2.png,0.952696,0.909665,0.997741,0.952073,0.940652,0.965053,0.952696,16.763055
MyModel,SkBr3_Phase_H3_2_03d00h00m_4.png,0.951029,0.90663,0.998004,0.951814,0.933831,0.968872,0.951029,20.615528
MyModel,SkBr3_Phase_H3_2_03d04h00m_1.png,0.947152,0.89961,0.995961,0.937325,0.936126,0.958442,0.947152,29.068884
MyModel,SkBr3_Phase_H3_2_03d04h00m_2.png,0.961926,0.926644,0.998275,0.95896,0.963268,0.960587,0.961926,11.661904
MyModel,SkBr3_Phase_H3_2_03d04h00m_3.png,0.956449,0.916533,0.997684,0.954357,0.954506,0.9584,0.956449,23.4094
MyModel,SkBr3_Phase_H3_2_03d04h00m_4.png,0.959547,0.922239,0.99817,0.958539,0.954251,0.964901,0.959547,32.756679
MyModel,SkBr3_Phase_H3_2_03d08h00m_1.png,0.956323,0.916301,0.997081,0.946361,0.939775,0.973463,0.956323,33.955854
MyModel,SkBr3_Phase_H3_2_03d08h00m_2.png,0.968288,0.938526,0.998677,0.963595,0.966327,0.970258,0.968288,24.083189
MyModel,SkBr3_Phase_H3_2_03d08h00m_3.png,0.956386,0.916417,0.997405,0.951505,0.954952,0.957823,0.956386,22.561028
MyModel,SkBr3_Phase_H3_2_03d08h00m_4.png,0.956561,0.916739,0.997713,0.952803,0.952896,0.960255,0.956561,22.472205
MyModel,SkBr3_Phase_H3_2_03d12h00m_1.png,0.963202,0.929016,0.99766,0.95262,0.954031,0.972551,0.963202,30.463092
MyModel,SkBr3_Phase_H3_2_03d12h00m_3.png,0.946701,0.898797,0.99652,0.936708,0.946405,0.946998,0.946701,21.023796
MyModel,SkBr3_Phase_H3_2_03d12h00m_4.png,0.94753,0.900292,0.996627,0.939901,0.951012,0.944074,0.94753,34.014703
MyModel,BV2_Phase_D4_2_02d08h00m_3.png,0.916474,0.845825,0.993655,0.912645,0.898771,0.934888,0.916474,27.294688
MyModel,BV2_Phase_D4_2_02d12h00m_1.png,0.780495,0.64001,0.98075,0.794537,0.654008,0.96764,0.780495,41.484937
MyModel,BV2_Phase_D4_2_02d12h00m_2.png,0.812695,0.684487,0.98376,0.812202,0.710204,0.949757,0.812695,47.095647
MyModel,BV2_Phase_D4_2_02d12h00m_3.png,0.814252,0.686699,0.985058,0.831062,0.695618,0.981671,0.814252,44.045431
MyModel,BV2_Phase_D4_2_02d12h00m_4.png,0.944457,0.89476,0.99708,0.946337,0.963685,0.925982,0.944457,19.235384
MyModel,BV2_Phase_D4_2_02d16h00m_1.png,0.855635,0.747695,0.987288,0.849109,0.840755,0.871052,0.855635,41.868843
MyModel,BV2_Phase_D4_2_02d16h00m_2.png,0.870422,0.770573,0.988558,0.858378,0.862667,0.878318,0.870422,64.845971
MyModel,BV2_Phase_D4_2_02d16h00m_3.png,0.864272,0.760984,0.98729,0.852991,0.790197,0.95367,0.864272,54.744863
MyModel,BV2_Phase_D4_2_02d16h00m_4.png,0.867618,0.766188,0.992081,0.870244,0.838724,0.898573,0.867618,63.071388
MyModel,BV2_Phase_D4_2_02d20h00m_2.png,0.846169,0.733356,0.988172,0.82249,0.803839,0.893205,0.846169,34.655447
MyModel,BV2_Phase_D4_2_02d20h00m_3.png,0.854507,0.745973,0.988415,0.84101,0.821713,0.890026,0.854507,34.785054
MyModel,BV2_Phase_D4_2_03d00h00m_1.png,0.817457,0.691271,0.983648,0.818062,0.719978,0.945465,0.817457,83.677954
MyModel,BV2_Phase_D4_2_03d00h00m_2.png,0.818286,0.692457,0.983618,0.800046,0.814595,0.82201,0.818286,63.06346
MyModel,BV2_Phase_D4_2_03d00h00m_3.png,0.85749,0.750531,0.987812,0.828051,0.8368,0.879228,0.85749,41.0
MyModel,BV2_Phase_D4_2_03d00h00m_4.png,0.907369,0.830444,0.993621,0.900757,0.888949,0.926569,0.907369,42.544095
MyModel,Huh7_Phase_A10_1_00d00h00m_1.png,0.899217,0.816888,0.997141,0.9638,0.910083,0.888607,0.899217,84.314886
MyModel,Huh7_Phase_A10_1_00d00h00m_2.png,0.89821,0.815228,0.99747,0.970269,0.893065,0.903415,0.89821,63.600314
MyModel,Huh7_Phase_A10_1_00d00h00m_3.png,0.912153,0.838493,0.998525,0.976445,0.880878,0.94573,0.912153,100.662803
MyModel,Huh7_Phase_A10_1_00d00h00m_4.png,0.913764,0.84122,0.998638,0.978461,0.892571,0.935988,0.913764,136.850283
MyModel,Huh7_Phase_A10_1_00d04h00m_1.png,0.91045,0.83562,0.997521,0.961844,0.889766,0.932119,0.91045,76.902536
MyModel,Huh7_Phase_A10_1_00d04h00m_2.png,0.928965,0.867352,0.998488,0.97412,0.917952,0.940244,0.928965,58.872744
